lng,lat,codigo,nombre,dept,muni
-88.8948666666667,13.826,76068,CENTRO ESCOLAR CASERIO LOS DELGADO CANTON SAN JOSE,CABAÑAS,ILOBASCO
-88.782755017217,13.5735463912831,12419,CENTRO ESCOLAR CANTON SAN DIEGO,SAN VICENTE,SAN VICENTE
-88.7416333333333,13.4477833333333,12448,CENTRO ESCOLAR CANTON SAN RAMON GRIFAL,SAN VICENTE,TECOLUCA
-88.7381833333333,13.4035833333333,78095,CENTRO ESCOLAR CANTON EL PACUN,SAN VICENTE,TECOLUCA
-88.5895555555555,13.5315277777778,80027,CENTRO ESCOLAR CANTON SANTA CRUZ,USULUTÁN,BERLÍN
-88.3738333333333,13.3529166666667,80041,CENTRO ESCOLAR CASERIO LOS NARANJOS CANTON LOS ENCUENTROS,USULUTÁN,EREGUAYQUÍN
-88.4753333333333,13.6416666666667,80049,CENTRO ESCOLAR CANTON POTRERO DE JOCO,USULUTÁN,ESTANZUELAS
-88.4877222222222,13.2954722222222,80126,CENTRO ESCOLAR CASERIO MUNDO NUEVO,USULUTÁN,SAN DIONISIO
-88.4132777777778,13.4071666666667,80134,CENTRO ESCOLAR CASERIO LOS TRES POSTES CANTON EL VOLCAN,USULUTÁN,SANTA ELENA
-88.0528888888889,13.2964722222222,86552,CENTRO ESCOLAR CASERIO OLOMEGUITA CANTON LA ESTRECHURA,SAN MIGUEL,CHIRILAGUA
-88.3525433069865,13.6913802916439,82147,CENTRO ESCOLAR CASERIO LOS VILLACORTA CANTON SANTA ROSA,SAN MIGUEL,SESORI
-88.0898055555556,13.9832222222222,84084,CENTRO ESCOLAR CASERIO JOYA DE TALCHIGA CANTON CASA BLANCA,MORAZAN,PERQUÍN
-87.8416666666667,13.3380833333333,13444,CENTRO ESCOLAR VICTORIA ZELAYA,LA UNIÓN,LA UNIÓN
-87.9394166666667,13.3752222222222,86108,CENTRO ESCOLAR CASERIO LA BOLSA CANTON BOBADILLA,LA UNIÓN,SAN ALEJO
-88.0200555555556,13.5513055555556,13586,CENTRO ESCOLAR LUIS ALONSO FLORES,LA UNIÓN,YUCUAIQUÍN
-89.4155833333333,14.3215277777778,10351,CENTRO ESCOLAR HACIENDA VIEJA,SANTA ANA,METAPÁN
-89.3247201296489,14.359837024146,62043,CENTRO ESCOLAR CASERIO EL MATAZANO CANTON SAN MIGUEL INGENIO,SANTA ANA,METAPÁN
-89.35975,14.3670555555556,86273,"CENTRO ESCOLAR CASERIO EL LIMO, CANTON EL ROSARIO",SANTA ANA,METAPÁN
-89.8266666666667,13.5910833333333,10545,CENTRO ESCOLAR JULIAN VASQUEZ ROJAS,SONSONATE,ACAJUTLA
-89.5290833333333,13.75975,10576,CENTRO ESCOLAR CANTON AZACUALPA,SONSONATE,ARMENIA
-89.0968333333333,14.1695833333333,66073,CENTRO ESCOLAR FERNANDO CORONADO CAÑAS,CHALATENANGO,TEJUTLA
-89.4725,13.5075,68045,"CENTRO ESCOLAR CASERIO HACIENDA SHUTIA, CANTON TAQUILLO",LA LIBERTAD,CHILTIUPÁN
-89.3486111111111,13.4958333333333,68072,CENTRO ESCOLAR CASERIO SAN RAFAEL ABAJO CANTON SAN RAFAEL,LA LIBERTAD,LA LIBERTAD
-89.2619444444444,13.9116666666667,68098,CENTRO ESCOLAR CASERIO TACACHICO CANTON TACACHICO,LA LIBERTAD,QUEZALTEPEQUE
-89.3566666666667,13.7847222222222,10130,CENTRO ESCOLAR HACIENDA CHANMICO,LA LIBERTAD,SAN JUAN OPICO
-89.4291666666667,13.6122222222222,68169,CENTRO ESCOLAR CASERIO EL TESORO CANTON SAN ISIDRO,LA LIBERTAD,TAMANIQUE
-89.1566111111111,13.587075,70051,CENTRO ESCOLAR CANTON LOS PAJALES,SAN SALVADOR,PANCHIMALCO
-89.1819666666667,13.6634333333333,11482,COMPLEJO EDUCATIVO COLONIA EL MILAGRO,SAN SALVADOR,SAN MARCOS
-89.1470166666667,13.6374833333333,70081,CENTRO ESCOLAR CANTON EL PORVENIR,SAN SALVADOR,SANTO TOMÁS
-88.9047222222222,13.7219444444444,11817,COMPLEJO EDUCATIVO RAFAEL BARRAZA RODRIGUEZ,CUSCATLÁN,EL CARMEN
-89.1256944444444,13.8503055555556,72032,CENTRO ESCOLAR CANTON PIEDRA LABRADA,CUSCATLÁN,SAN JOSÉ GUAYABAL
-89.0233333333333,13.8119166666667,11859,CENTRO ESCOLAR CANTON SAN FRANCISCO CANDELARIA,CUSCATLÁN,SAN PEDRO PERULAPÁN
-89.0455277777778,13.9181111111111,11895,CENTRO ESCOLAR CANTON ESTANZUELAS,CUSCATLÁN,SUCHITOTO
-88.9864166666667,13.8468888888889,72080,CENTRO ESCOLAR CANTON EL PEPETO,CUSCATLÁN,TENANCINGO
-88.9433333333333,13.5963888888889,12027,CENTRO ESCOLAR CANTON LA COMUNIDAD,LA PAZ,SAN PEDRO NONUALCO
-88.8728701448441,13.512519530131,12122,CENTRO ESCOLAR 15 DE SEPTIEMBRE,LA PAZ,ZACATECOLUCA
-88.8380166666667,13.85535,12172,CENTRO ESCOLAR CASERIO MENJIVAR CANTON LOS HOYOS,CABAÑAS,ILOBASCO
-88.55175,13.7957666666667,86262,CENTRO ESCOLAR CASERIO MINAS CANTON NIQUERESQUE,CABAÑAS,DOLORES
-88.8026833333333,13.67755,78048,CENTRO ESCOLAR CANTON LA CRUZ,SAN VICENTE,SAN LORENZO
-88.3879166666667,13.6118611111111,60184,CENTRO ESCOLAR CASERIO HUILIHUISTE,USULUTÁN,VILLA EL TRIUNFO
-88.6675,13.42,12560,"CENTRO ESCOLAR ASENTAMIENTO 14 DE JULIO, CANTON SAN PEDRO",USULUTÁN,JIQUILISCO
-88.6875,13.3291666666667,86312,CENTRO ESCOLAR CASERIO NUEVA ESPERANZA,USULUTÁN,JIQUILISCO
-88.4376944444444,13.5068055555556,12715,CENTRO ESCOLAR CANTON BATRES,USULUTÁN,SANTIAGO DE MARÍA
-88.3119444444444,13.5190833333333,12849,CENTRO ESCOLAR CANTON LOS PLANES PRIMEROS,SAN MIGUEL,CHINAMECA
-88.3773611111111,13.3824166666667,13097,CENTRO ESCOLAR CANTON SANTA CLARA,SAN MIGUEL,SAN RAFAEL ORIENTE
-88.1566944444445,13.7409166666667,84037,CENTRO ESCOLAR CASERIO LOS MATA CANTON LAJITAS,MORAZAN,CHILANGA
-88.1969444444445,13.8208333333333,84046,CENTRO ESCOLAR CANTON LA JOYA,MORAZAN,GUALOCOCTI
-88.0993333333333,13.7503055555556,13219,CENTRO ESCOLAR CASERIO LAS CRUCES CANTON HUALINDO,MORAZAN,LOLOTIQUILLO
-88.1080277777778,13.9894444444444,84121,COMPLEJO EDUCATIVO CASERIO RANCHO QUEMADO CANTON CASA BLANCA,MORAZAN,PERQUÍN
-88.2506666666667,13.8605833333333,84092,CENTRO ESCOLAR CANTON PIEDRA PARADA,MORAZAN,SAN ISIDRO
-87.93,13.1617777777778,86028,CENTRO ESCOLAR CASERIO MACULIS CANTON EL JAGUEY,LA UNIÓN,CONCHAGUA
-87.8411666666667,13.6803611111111,60205,CENTRO ESCOLAR CASERIO MARIA PURA CANTON CANAIRE,LA UNIÓN,EL SAUCE
-87.8746111111111,13.6583055555556,13569,CENTRO ESCOLAR CANTON LOS MOJONES,LA UNIÓN,SANTA ROSA DE LIMA
-89.848707,13.920564,21584,COLEGIO CRISTIANO PROFESOR JUSTO GONZALEZ CARRASCO,AHUACHAPAN,AHUACHAPÁN
